subj,trial_id,trial_type,tdur,blinks,eye,tffixos,tffixurt,tfixcnt,tregrcnt,region,reglen,word,line_no,x1_pos,x2_pos,mod_x1,mod_x2,fpurt,fpcount,fpregres,fpregreg,fpregchr,ffos,ffixurt,spilover,rpurt,rpcount,rpregreg,rpregchr,spurt,spcount
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,79,5, each,7,798,853,798.0,853.0,408.0,2.0,0.0,0.0,605.0,3.0,204.0,56.0,408.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,80,6, other,7,853,919,853.0,919.0,56.0,1.0,0.0,0.0,605.0,2.0,56.0,296.0,56.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,81,3, as,7,919,952,919.0,952.0,296.0,1.0,0.0,0.0,605.0,0.0,296.0,304.0,296.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,82,3, we,7,952,985,952.0,996.0,,,,,,,,,,,,,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,83,6,really,8,215,281,204.0,281.0,304.0,1.0,0.0,0.0,605.0,2.0,304.0,148.0,304.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,84,6," are.""",8,281,347,281.0,347.0,148.0,1.0,0.0,0.0,605.0,0.0,148.0,204.0,148.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,85,4, The,8,347,391,347.0,391.0,204.0,1.0,0.0,0.0,605.0,1.0,204.0,160.0,204.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,86,8, husband,8,391,479,391.0,479.0,160.0,1.0,0.0,0.0,605.0,1.0,160.0,240.0,160.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,87,7, looked,8,479,556,479.0,556.0,240.0,1.0,0.0,0.0,605.0,1.0,240.0,160.0,240.0,0.0,0.0,605.0,,
1950099,1.0,RP_story02,35024.0,7.0,L,24608.0,0.0,126,12,88,3, at,8,556,589,556.0,589.0,160.0,1.0,0.0,0.0,605.0,1.0,160.0,288.0,160.0,0.0,0.0,605.0,,
