subj,trial_id,trial_type,sampfreq,script,sessdate,srcfile,tdur,blinks,eye,start,end,duration,x1_pos,y1_pos,x2_pos,y2_pos,ampl,pk,line
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12567293.0,12567325.0,36.0,803.5,483.2,947.3,481.7,3.54,163.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12567501.0,12567557.0,60.0,939.7,474.7,297.3,521.4,15.73,427.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12567685.0,12567701.0,20.0,304.4,525.5,255.1,535.2,1.22,98.0,7_8
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12567937.0,12567949.0,16.0,264.1,533.6,304.6,532.0,0.98,99.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12568149.0,12568165.0,20.0,311.8,524.4,400.7,520.0,2.18,184.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12568393.0,12568557.0,168.0,406.7,523.9,575.9,522.0,4.18,906.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12568681.0,12568693.0,16.0,577.2,532.6,550.8,523.9,0.69,67.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12568853.0,12568885.0,36.0,536.8,524.8,465.5,516.2,1.78,114.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12568981.0,12568997.0,20.0,477.4,518.9,407.0,519.7,1.74,137.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12569173.0,12569185.0,16.0,397.0,526.4,358.8,521.6,0.94,91.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12569409.0,12569425.0,20.0,358.3,529.2,439.7,522.3,2.01,168.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12569665.0,12569697.0,36.0,460.1,536.2,584.8,538.4,3.09,178.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12569897.0,12569913.0,20.0,570.1,536.4,624.6,540.1,1.36,122.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12570065.0,12570069.0,8.0,615.3,538.2,606.9,538.6,0.21,40.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12570253.0,12570265.0,16.0,605.4,538.3,655.6,542.3,1.25,127.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12570565.0,12570581.0,20.0,675.9,549.4,710.0,551.9,0.85,67.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12570693.0,12570709.0,20.0,718.2,550.0,778.4,551.5,1.49,122.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12570901.0,12570925.0,28.0,778.5,555.6,874.9,564.5,2.38,172.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12571113.0,12571129.0,20.0,879.0,565.0,821.8,560.6,1.41,120.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12571253.0,12571269.0,20.0,816.7,560.7,743.6,553.2,1.81,158.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12571413.0,12571429.0,20.0,743.4,547.9,698.4,544.1,1.12,106.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12571613.0,12571617.0,8.0,702.0,545.5,690.7,542.8,0.29,62.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12571745.0,12571773.0,32.0,681.4,541.1,781.5,548.9,2.49,169.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12571985.0,12572001.0,20.0,770.5,551.9,832.6,555.5,1.54,150.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12572185.0,12572205.0,24.0,821.7,555.2,877.3,559.1,1.37,116.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12572481.0,12572501.0,24.0,894.9,556.9,980.0,557.2,2.08,173.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12572657.0,12572677.0,24.0,987.0,555.4,912.3,556.1,1.82,142.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12572793.0,12572809.0,20.0,914.6,557.3,851.6,553.3,1.55,131.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12573061.0,12573073.0,16.0,841.3,546.9,810.0,543.7,0.78,91.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12573129.0,12573149.0,24.0,817.1,545.9,895.6,549.7,1.93,161.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12573493.0,12573529.0,40.0,875.4,563.8,1000.0,571.6,3.04,193.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12573673.0,12573737.0,68.0,999.3,568.1,288.9,597.2,17.22,406.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12573861.0,12573877.0,20.0,291.7,598.4,240.9,610.0,1.26,115.0,8_9
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12574157.0,12574173.0,20.0,249.4,603.6,327.2,604.8,1.88,161.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12574325.0,12574345.0,24.0,341.0,602.2,447.5,600.3,2.6,225.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12574501.0,12574513.0,16.0,434.3,600.9,393.4,600.3,1.0,90.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12574673.0,12574693.0,24.0,401.0,598.7,308.3,600.7,2.26,166.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12574969.0,12574973.0,8.0,306.3,606.8,315.2,603.9,0.23,47.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12575509.0,12575521.0,16.0,318.7,606.8,369.6,605.2,1.24,121.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12576173.0,12576193.0,24.0,380.9,613.2,456.3,612.4,1.85,144.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12576381.0,12576393.0,16.0,462.5,603.2,418.4,601.0,1.08,106.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12576629.0,12576649.0,24.0,405.8,593.4,499.0,597.3,2.29,169.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12577177.0,12577185.0,12.0,514.8,601.2,534.7,604.8,0.5,62.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12577669.0,12578017.0,352.0,500.5,633.8,491.1,680.0,1.14,221.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12578277.0,12578329.0,56.0,511.1,588.1,441.6,266.9,8.12,254.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12578613.0,12578653.0,44.0,469.7,294.5,405.7,113.9,4.78,247.0,0.0
1950024,1.0,RP_story02,250.0,ET_Passag...ing_Drift,Fri Jun 20 20:46:20 2014,1950024.edf,49680.0,8.0,L,12578873.0,12578893.0,24.0,409.2,125.3,285.5,122.7,3.04,218.0,0.0
